food_name,presence_cluster,embedding_cluster_13
Anatidae,1,12
Beefalo,1,5
Bison,1,5
Buffalo,1,5
"Cattle (Beef, Veal)",1,12
Chicken,1,12
"Columbidae (Dove, Pigeon)",1,12
Deer,1,12
Domestic goat,1,12
Domestic pig,1,12
Elk,1,5
Emu,1,5
European rabbit,1,5
Greylag goose,1,5
Guinea hen,1,5
Horse,1,5
Mallard duck,1,5
Mountain hare,1,12
Mule deer,1,5
Ostrich,1,5
Pheasant,1,5
Quail,1,12
Rabbit,1,12
Rock ptarmigan,1,12
"Sheep (Mutton, Lamb)",1,12
Squab,1,5
Turkey,1,12
Velvet duck,1,5
Wild boar,1,5
Black tea,3,10
Green tea,3,10
Herbal tea,3,10
Red tea,3,10
Milk (Cow),6,7
Tea,8,3
Herbs and Spices,9,3
Fruits,10,3
Abiyuch,4,0
Acerola,4,0
Acorn,4,0
Adzuki bean,4,6
Agave,4,0
Alaska blueberry,4,0
Alaska wild rhubarb,4,0
Alfalfa,4,6
Allium,4,6
Allspice,4,0
Almond,4,6
Alpine sweetvetch,4,0
Amaranth,4,6
American cranberry,4,6
American pokeweed,4,0
Angelica,4,0
Anise,4,0
Annual wild rice,4,0
Apple,4,6
Apricot,4,6
Arctic blackberry,4,0
Arrowhead,4,0
Arrowroot,4,0
Asian pear,4,0
Asparagus,4,6
Avocado,4,6
Babassu palm,4,0
Bamboo shoots,4,6
Banana,4,6
Barley,4,6
Bayberry,4,0
Bean,4,0
Beech nut,4,0
Bilberry,4,6
Bitter gourd,4,0
Black cabbage,4,0
Black chokeberry,4,0
Black crowberry,4,0
Black elderberry,4,0
Black huckleberry,4,0
Black mulberry,4,0
Black radish,4,0
Black raspberry,4,0
Black salsify,4,6
Black walnut,4,6
Black-eyed pea,4,0
Blackcurrant,4,6
Bog bilberry,4,0
Borage,4,0
Boysenberry,4,0
Brazil nut,4,6
Breadfruit,4,0
Breadnut tree seed,4,0
Broad bean,4,6
Broccoli,4,6
Brussel sprouts,4,6
Buffalo currant,4,0
Burdock,4,0
Butternut,4,0
Butternut squash,4,0
Cabbage,4,0
Calabash,4,0
Canada blueberry,4,0
Canola,4,0
Capers,4,0
Caraway,4,6
Cardamom,4,0
Cardoon,4,0
Carob,4,0
Carrot,4,6
Cascade huckleberry,4,0
Cashew nut,4,6
Cassava,4,6
Catjang pea,4,0
Cauliflower,4,6
Celeriac,4,6
Celery leaves,4,6
Celery stalks,4,0
Ceylon cinnamon,4,0
Chanterelle,4,6
Chayote,4,6
Cherimoya,4,6
Cherry tomato,4,0
Chervil,4,6
Chestnut,4,6
Chia,4,0
Chickpea,4,6
Chicory,4,6
Chicory leaves,4,0
Chicory roots,4,0
Chinese bayberry,4,0
Chinese broccoli,4,0
Chinese cabbage,4,6
Chinese chestnut,4,0
Chinese chives,4,0
Chinese cinnamon,4,6
Chinese mustard,4,0
Chinese water chestnut,4,0
Chives,4,6
Cinnamon,4,6
Climbing bean,4,0
Cloud ear fungus,4,0
Cloudberry,4,0
Cloves,4,6
Coconut,4,6
Colorado pinyon,4,0
Common bean,4,6
Common beet,4,0
Common buckwheat,4,6
Common cabbage,4,6
Common chokecherry,4,0
Common grape,4,6
Common hazelnut,4,0
Common mushroom,4,6
Common oregano,4,6
Common pea,4,6
Common persimmon,4,0
Common sage,4,6
Common salsify,4,0
Common thyme,4,6
Common verbena,4,0
Common walnut,4,6
Common wheat,4,6
Coriander,4,6
Corn,4,6
Corn salad,4,0
Cornmint,4,0
Cottonseed,4,6
Cowpea,4,0
Cucumber,4,6
Cucurbita,4,6
Cumin,4,0
Custard apple,4,0
Daikon radish,4,6
Dandelion,4,6
Date,4,6
Deerberry,4,0
Dill,4,6
Dock,4,0
Durian,4,0
Eggplant,4,6
Elderberry,4,6
Elliott's blueberry,4,0
Endive,4,6
Enokitake,4,0
Epazote,4,0
European chestnut,4,0
European cranberry,4,0
European plum,4,6
Evening primrose,4,0
Evergreen huckleberry,4,0
Feijoa,4,0
Fennel,4,6
Fenugreek,4,0
Fig,4,6
Fireweed,4,0
Flaxseed,4,6
Fox grape,4,0
French plantain,4,6
Garden cress,4,6
Garden onion,4,6
Garden onion (var.),4,0
Garden rhubarb,4,6
Garden tomato,4,6
Garden tomato (var.),4,6
Garland chrysanthemum,4,0
Garlic,4,6
German camomile,4,0
Giant butterbur,4,0
Ginger,4,6
Ginkgo nuts,4,0
Ginseng,4,0
Globe artichoke,4,6
Gooseberry,4,6
Gram bean,4,0
Grape,4,6
Grapefruit,4,6
Grapefruit/Pummelo hybrid,4,0
Grass pea,4,0
Green bean,4,6
Green bell pepper,4,6
Green onion,4,0
Green zucchini,4,6
Greenthread tea,4,0
Groundcherry,4,6
Guava,4,6
Half-highbush blueberry,4,0
Hard wheat,4,6
Hazelnut,4,6
Hedge mustard,4,0
Hickory nut,4,0
Highbush blueberry,4,0
Horned melon,4,0
Horseradish,4,6
Horseradish tree,4,0
Hyacinth bean,4,0
Hyssop,4,0
Italian oregano,4,0
Italian sweet red pepper,4,6
Jackfruit,4,0
Japanese chestnut,4,0
Japanese persimmon,4,0
Japanese pumpkin,4,6
Japanese walnut,4,0
Java plum,4,0
Jerusalem artichoke,4,6
Jew's ear,4,0
Jicama,4,0
Jostaberry,4,0
Jujube,4,0
Jute,4,0
Kai-lan,4,0
Kale,4,6
Kiwi,4,6
Kohlrabi,4,6
Komatsuna,4,0
Kumquat,4,6
Lambsquarters,4,0
Leek,4,6
Lemon,4,6
Lemon balm,4,0
Lemon grass,4,0
Lemon thyme,4,0
Lemon verbena,4,0
Lentils,4,6
Lettuce,4,6
Lichee,4,6
Lima bean,4,0
Lime,4,6
Linden,4,0
Lingonberry,4,6
Loganberry,4,6
Longan,4,0
Loquat,4,6
Lotus,4,0
Lovage,4,0
Lowbush blueberry,4,0
Lupine,4,0
Macadamia nut,4,0
Macadamia nut (M. tetraphylla),4,0
Maitake,4,0
Malabar plum,4,0
Malabar spinach,4,0
Malus (Crab apple),4,6
Mamey sapote,4,0
Mammee apple,4,0
"Mandarin orange (Clementine, Tangerine)",4,6
Mango,4,6
Medlar,4,0
Mentha,4,0
Mexican groundcherry,4,0
Mexican oregano,4,0
Millet,4,6
Moth bean,4,0
Mountain yam,4,0
Mugwort,4,0
Mulberry,4,0
Mung bean,4,6
Muscadine grape,4,0
Muskmelon,4,6
Mustard spinach,4,0
Nance,4,0
Nanking cherry,4,0
Napa cabbage,4,0
Naranjilla,4,0
Narrowleaf cattail,4,0
Natal plum,4,0
Nectarine,4,6
New Zealand spinach,4,0
Nopal,4,0
Nutmeg,4,6
Oat,4,6
Ohelo berry,4,0
Oil palm,4,6
Okra,4,6
Olive,4,6
Orange bell pepper,4,6
Orange mint,4,0
Oregon yampah,4,0
Oriental wheat,4,6
Ostrich fern,4,0
Oval-leaf huckleberry,4,0
Oxheart cabbage,4,0
Oyster mushroom,4,6
Pak choy,4,6
Papaya,4,6
Parsley,4,6
Parsnip,4,6
Passion fruit,4,6
Pasta,4,6
Peach,4,6
Peach (var.),4,0
Peanut,4,6
Pear,4,6
Pecan nut,4,6
Pepper,4,6
Pepper (C. baccatum),4,0
Pepper (C. chinense),4,0
Pepper (C. frutescens),4,6
Pepper (C. pubescens),4,0
Pepper (Capsicum),4,0
Pepper (Spice),4,6
Peppermint,4,6
Persian lime,4,0
Persimmon,4,6
Pigeon pea,4,0
Pili nut,4,0
Pine nut,4,6
Pineapple,4,6
Pineappple sage,4,0
Pistachio,4,6
Pitanga,4,0
Plains prickly pear,4,0
Pomegranate,4,6
Pot marjoram,4,0
Potato,4,6
Prairie turnip,4,0
Prickly pear,4,6
"Prunus (Cherry, Plum)",4,6
Pummelo,4,0
Purple mangosteen,4,0
Purslane,4,0
Quince,4,6
Quinoa,4,6
Radish,4,6
Radish (var.),4,0
Rambutan,4,0
Rape,4,6
Rapini,4,0
Red beetroot,4,6
Red bell pepper,4,6
Red huckleberry,4,0
Red onion,4,0
Red raspberry,4,6
Red rice,4,0
Redcurrant,4,6
Rice,4,6
Rocket salad (ssp.),4,0
Romaine lettuce,4,6
Roman camomile,4,0
Rose hip,4,6
Roselle,4,0
Rosemary,4,6
Rowal,4,0
Rowanberry,4,0
Rye,4,6
Sacred lotus,4,0
Safflower,4,6
Saffron,4,0
Sago palm,4,0
Salmonberry,4,0
Sapodilla,4,0
Saskatoon berry,4,0
Savoy cabbage,4,6
Scarlet bean,4,0
Sea-buckthornberry,4,0
Sesame,4,6
Sesbania flower,4,0
Shallot,4,0
Shiitake,4,0
Silver linden,4,0
Skunk currant,4,0
Small-leaf linden,4,0
Soft-necked garlic,4,0
Sorghum,4,6
Sorrel,4,6
Sour cherry,4,6
Sourdock,4,0
Sourdough,4,0
Soursop,4,0
Soy bean,4,6
Sparkleberry,4,0
Spearmint,4,0
Spelt,4,6
Spinach,4,6
Squashberry,4,0
Star anise,4,0
Star fruit,4,6
Strawberry,4,6
Strawberry guava,4,0
Sugar apple,4,0
Summer grape,4,0
Summer savory,4,0
Sunburst squash (pattypan squash),4,6
Sunflower,4,6
Swamp cabbage,4,0
Swede,4,6
Sweet basil,4,6
Sweet bay,4,6
Sweet cherry,4,6
Sweet marjoram,4,0
Sweet orange,4,6
Sweet potato,4,6
Sweet rowanberry,4,0
Swiss chard,4,6
Tamarind,4,6
Taro,4,0
Tarragon,4,0
Tartary buckwheat,4,0
Tea leaf willow,4,0
Teff,4,6
Thistle,4,6
Tinda,4,0
Towel gourd,4,0
Tree fern,4,0
Triticale,4,6
Tronchuda cabbage,4,0
Turmeric,4,0
Turnip,4,6
